acceleration (mg) - 2014-05-30 10:00:00 - 2014-06-06 09:59:55 - sampleRate = 5 seconds,imputed
0.8,0
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
35.7,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
24,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
20.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
44.5,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
30.9,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
11.1,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
13.7,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
24.2,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
50.7,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
60.2,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.5,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
54.8,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
46,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
32.1,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
26.8,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
31.6,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
43.2,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
46.4,1
31,1
31,1
31,1
31,1
